"样本编号","评论内容","评论时间","IP属地","评论点赞数","评论回复数","作品标题","作品发布时间","作品点赞数","作品评论数","是否置顶","人工判断（留空待标注）","人工备注（留空待标注）"
"评论样本01","请问有清真食堂吗","2026-07-10 12:41:18","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本02","正解","2026-07-09 13:10:55","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本03","600能取吗","2026-07-09 11:07:45","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本04","公立公办","2026-07-09 10:39:14","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本05","你们是公立还是私","2026-07-09 10:14:10","云南","0","3","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本06","这个多少一平","2026-07-08 23:06:55","云南","0","0","#好房推荐 #带你看房 #家的样子 #性价比","2024-12-16 10:23:26","53","10","是","",""
"评论样本07","田径场是400米的吗","2026-07-07 19:21:34","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本08","是的","2026-07-07 10:46:02","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本09","景泰街那里吗","2026-07-06 20:20:39","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本10","老师，高中580分进得了本校吗？","2026-07-05 18:03:16","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本11","卖完了吗房子？","2026-07-04 12:41:46","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本12","大华公园南岸的业主可以读吗？","2026-07-04 01:18:29","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本13","高一学费是多少","2026-07-03 08:27:21","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本14","买一期二手房可以读吗","2026-07-02 00:32:23","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
